txn_id,account_id,amount_aud,currency,txn_date,status,channel
TXN-20260517-00001,ACC-000327,279.41,AUD,2026-05-17,settled,transfer
TXN-20260517-00002,ACC-000200,68.5,AUD,2026-05-17,settled,direct_debit
TXN-20260520-00003,ACC-000074,406.46,AUD,2026-05-20,settled,card
TXN-20260517-00004,ACC-000322,70.76,AUD,2026-05-17,settled,direct_debit
TXN-20260517-00005,ACC-000466,421.68,AUD,2026-05-17,settled,card
TXN-20260517-00006,ACC-000266,8396.98,AUD,2026-05-17,settled,direct_debit
TXN-20260519-00007,ACC-000047,159.8,AUD,2026-05-19,settled,transfer
TXN-20260521-00008,ACC-000324,4557.4,AUD,2026-05-21,settled,transfer
TXN-20260519-00009,ACC-000498,274.43,AUD,2026-05-19,settled,direct_debit
TXN-20260521-00010,ACC-000322,4648.4,AUD,2026-05-21,settled,direct_debit
TXN-20260520-00011,ACC-000334,8317.5,AUD,2026-05-20,settled,direct_debit
TXN-20260518-00012,ACC-000054,283.25,AUD,2026-05-18,settled,transfer
TXN-20260517-00013,ACC-000416,328.05,AUD,2026-05-17,settled,card
TXN-20260518-00014,ACC-000182,230.19,AUD,2026-05-18,settled,card
TXN-20260521-00015,ACC-000395,230.5,AUD,2026-05-21,settled,card
TXN-20260520-00016,ACC-000470,66.69,AUD,2026-05-20,settled,direct_debit
TXN-20260517-00017,ACC-000152,1462.87,AUD,2026-05-17,settled,transfer
TXN-20260517-00018,ACC-000420,125.07,AUD,2026-05-17,settled,transfer
TXN-20260521-00019,ACC-000112,3959.3,AUD,2026-05-21,settled,direct_debit
TXN-20260519-00020,ACC-000063,145.03,AUD,2026-05-19,settled,transfer
TXN-20260520-00021,ACC-000029,186.25,AUD,2026-05-20,settled,transfer
TXN-20260519-00022,ACC-000253,451.02,AUD,2026-05-19,settled,card
TXN-20260518-00023,ACC-000145,450.98,AUD,2026-05-18,settled,transfer
TXN-20260518-00024,ACC-000009,431.81,AUD,2026-05-18,settled,direct_debit
TXN-20260521-00025,ACC-000384,2880.9,AUD,2026-05-21,settled,transfer
TXN-20260521-00026,ACC-000358,4734.5,AUD,2026-05-21,settled,card
TXN-20260520-00027,ACC-000068,2665.03,AUD,2026-05-20,settled,direct_debit
TXN-20260518-00028,ACC-000010,415.33,AUD,2026-05-18,settled,card
TXN-20260519-00029,ACC-000383,229.05,AUD,2026-05-19,pending,transfer
TXN-20260521-00030,ACC-000382,1471.1,AUD,2026-05-21,settled,card
TXN-20260517-00031,ACC-000422,7786.11,AUD,2026-05-17,settled,card
TXN-20260520-00032,ACC-000040,253.97,AUD,2026-05-20,settled,transfer
TXN-20260520-00033,ACC-000308,488.72,AUD,2026-05-20,settled,card
TXN-20260518-00034,ACC-000368,331.71,AUD,2026-05-18,settled,card
TXN-20260520-00035,ACC-000006,26.94,AUD,2026-05-20,settled,card
TXN-20260520-00036,ACC-000314,11555.2,AUD,2026-05-20,settled,direct_debit
TXN-20260517-00037,ACC-000247,249.68,AUD,2026-05-17,settled,transfer
TXN-20260520-00038,ACC-000107,107.42,AUD,2026-05-20,settled,direct_debit
TXN-20260518-00039,ACC-000237,7248.6,AUD,2026-05-18,settled,direct_debit
TXN-20260518-00040,ACC-000072,8273.18,AUD,2026-05-18,settled,card
TXN-20260519-00041,ACC-000431,293.06,AUD,2026-05-19,settled,card
TXN-20260519-00042,ACC-000286,324.5,AUD,2026-05-19,settled,card
TXN-20260520-00043,ACC-000317,62.67,AUD,2026-05-20,settled,card
TXN-20260520-00044,ACC-000245,166.6,AUD,2026-05-20,settled,card
TXN-20260517-00045,ACC-000245,124.06,AUD,2026-05-17,settled,direct_debit
TXN-20260520-00046,ACC-000266,444.02,AUD,2026-05-20,settled,card
TXN-20260520-00047,ACC-000065,262.26,AUD,2026-05-20,settled,card
TXN-20260518-00048,ACC-000392,227.61,AUD,2026-05-18,settled,card
TXN-20260520-00049,ACC-000299,14806.84,AUD,2026-05-20,settled,card
TXN-20260521-00050,ACC-000385,1676.3,AUD,2026-05-21,settled,transfer
TXN-20260521-00051,ACC-000085,4401.0,AUD,2026-05-21,settled,card
TXN-20260518-00052,ACC-000461,411.92,AUD,2026-05-18,settled,card
TXN-20260517-00053,ACC-000133,478.4,AUD,2026-05-17,settled,card
TXN-20260521-00054,ACC-000162,4566.0,AUD,2026-05-21,settled,transfer
TXN-20260520-00055,ACC-000444,209.64,AUD,2026-05-20,settled,card
TXN-20260521-00056,ACC-000074,2864.1,AUD,2026-05-21,settled,transfer
TXN-20260520-00057,ACC-000407,232.59,AUD,2026-05-20,settled,transfer
TXN-20260520-00058,ACC-000274,11857.07,AUD,2026-05-20,settled,card
TXN-20260518-00059,ACC-000360,431.83,AUD,2026-05-18,settled,direct_debit
TXN-20260519-00060,ACC-000028,70.89,AUD,2026-05-19,settled,direct_debit
TXN-20260521-00061,ACC-000454,3173.7,AUD,2026-05-21,settled,transfer
TXN-20260518-00062,ACC-000028,13105.23,AUD,2026-05-18,settled,transfer
TXN-20260518-00063,ACC-000298,170.88,AUD,2026-05-18,settled,card
TXN-20260517-00064,ACC-000101,137.52,AUD,2026-05-17,settled,transfer
TXN-20260520-00065,ACC-000042,403.9,AUD,2026-05-20,settled,transfer
TXN-20260521-00066,ACC-000306,77418.6,AUD,2026-05-21,settled,card
TXN-20260520-00067,ACC-000333,493.05,AUD,2026-05-20,settled,transfer
TXN-20260519-00068,ACC-000155,298.72,AUD,2026-05-19,settled,transfer
TXN-20260517-00069,ACC-000319,99.46,AUD,2026-05-17,settled,transfer
TXN-20260520-00070,ACC-000188,3330.93,AUD,2026-05-20,settled,transfer
TXN-20260521-00071,ACC-000170,4069.2,AUD,2026-05-21,settled,card
TXN-20260520-00072,ACC-000454,9751.3,AUD,2026-05-20,settled,card
TXN-20260518-00073,ACC-000223,470.4,AUD,2026-05-18,settled,transfer
TXN-20260518-00074,ACC-000469,463.44,AUD,2026-05-18,settled,direct_debit
TXN-20260517-00075,ACC-000445,5841.52,AUD,2026-05-17,settled,transfer
TXN-20260521-00076,ACC-000380,4450.3,AUD,2026-05-21,settled,card
TXN-20260519-00077,ACC-000016,356.25,AUD,2026-05-19,settled,card
TXN-20260521-00078,ACC-000056,1278.4,AUD,2026-05-21,settled,transfer
TXN-20260518-00079,ACC-000009,3259.22,AUD,2026-05-18,settled,transfer
TXN-20260520-00080,ACC-000464,485.19,AUD,2026-05-20,settled,card
TXN-20260521-00081,ACC-000120,4976.3,AUD,2026-05-21,settled,transfer
TXN-20260521-00082,ACC-000129,2535.1,AUD,2026-05-21,settled,transfer
TXN-20260518-00083,ACC-000458,55.99,AUD,2026-05-18,settled,card
TXN-20260521-00084,ACC-000233,3502.8,AUD,2026-05-21,settled,card
TXN-20260520-00085,ACC-000347,117.16,AUD,2026-05-20,settled,card
TXN-20260517-00086,ACC-000141,62.55,AUD,2026-05-17,settled,card
TXN-20260521-00087,ACC-000340,4437.6,AUD,2026-05-21,settled,card
TXN-20260520-00088,ACC-000411,13251.7,AUD,2026-05-20,settled,card
TXN-20260517-00089,ACC-000053,13422.26,AUD,2026-05-17,settled,card
TXN-20260517-00090,ACC-000445,11.09,AUD,2026-05-17,settled,card
TXN-20260517-00091,ACC-000213,485.49,AUD,2026-05-17,settled,transfer
TXN-20260521-00092,ACC-000012,681.4,AUD,2026-05-21,settled,transfer
TXN-20260517-00093,ACC-000207,630.19,AUD,2026-05-17,settled,card
TXN-20260519-00094,ACC-000214,13088.29,AUD,2026-05-19,settled,card
TXN-20260520-00095,ACC-000212,371.99,AUD,2026-05-20,settled,transfer
TXN-20260519-00096,ACC-000142,53.77,AUD,2026-05-19,settled,transfer
TXN-20260517-00097,ACC-000487,94.65,AUD,2026-05-17,settled,card
TXN-20260520-00098,ACC-000210,34.07,AUD,2026-05-20,settled,transfer
TXN-20260521-00099,ACC-000164,2711.8,AUD,2026-05-21,settled,card
TXN-20260519-00100,ACC-000164,4046.8,AUD,2026-05-19,settled,card
TXN-20260519-00101,ACC-000210,37.82,AUD,2026-05-19,settled,card
TXN-20260518-00102,ACC-000450,71.95,AUD,2026-05-18,pending,card
TXN-20260518-00103,ACC-000032,485.51,AUD,2026-05-18,settled,card
TXN-20260519-00104,ACC-000416,13711.89,AUD,2026-05-19,settled,transfer
TXN-20260519-00105,ACC-000428,10841.66,AUD,2026-05-19,settled,transfer
TXN-20260521-00106,ACC-000308,1318.4,AUD,2026-05-21,settled,card
TXN-20260519-00107,ACC-000416,372.01,AUD,2026-05-19,settled,transfer
TXN-20260518-00108,ACC-000173,250.1,AUD,2026-05-18,settled,card
TXN-20260517-00109,ACC-000171,183.64,AUD,2026-05-17,settled,transfer
TXN-20260521-00110,ACC-000336,550.7,AUD,2026-05-21,settled,card
TXN-20260520-00111,ACC-000443,11672.44,AUD,2026-05-20,settled,card
TXN-20260521-00112,ACC-000225,4859.8,AUD,2026-05-21,settled,transfer
TXN-20260520-00113,ACC-000062,280.97,AUD,2026-05-20,settled,transfer
TXN-20260517-00114,ACC-000380,223.68,AUD,2026-05-17,settled,card
TXN-20260517-00115,ACC-000288,376.94,AUD,2026-05-17,settled,transfer
TXN-20260517-00116,ACC-000272,13255.97,AUD,2026-05-17,settled,transfer
